fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4
5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5
5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2
6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5
